Bacteria,Test_MCC,Test_AUC,Test_GMean,Test_Sensitivity,Test_Specificity,Test_Accuracy,Test_F1,Final_Alpha,Target_Alpha,Val_MCC,Val_AUC,Val_GMean
Ab,0.48649315824978523,0.8420802031531055,0.5185175388054716,0.2692307692307692,0.9986244841815681,0.9499358151476252,0.417910447761194,0.2691458761692047,0.25,0.5996503915660051,0.8719125214408233,0.6123724356957945
Bs,0.6903444264123608,0.9150120266000094,0.7931441522478926,0.648068669527897,0.9706959706959707,0.8741976893453145,0.755,0.40015554428100586,0.4,0.6202469590509505,0.8825846824250716,0.7213575518355162
Ec,0.6390983090876956,0.8876886857775931,0.7600250908765739,0.978448275862069,0.5903614457831325,0.9370988446726572,0.9652728561304039,0.6260978579521179,0.65,0.57598265794512,0.878377697116354,0.777986605215499
Ef,0.5635506284530407,0.8507079101261927,0.7325900707472521,0.5578947368421052,0.9619883040935673,0.9127086007702182,0.6091954022988505,0.2690225839614868,0.25,0.6352031052403926,0.8974677716390423,0.7119248672258791
Kp,0.6811948306885387,0.895484903681625,0.8224575953255142,0.7037037037037037,0.9612518628912071,0.9255455712451861,0.7238095238095239,0.2690742313861847,0.25,0.6862472934482604,0.8940882666011626,0.7968557715227937
Ml,0.6716084840137322,0.931254791719908,0.8538034445957559,0.7692307692307693,0.9476744186046512,0.926829268292683,0.7106598984771574,0.2690645456314087,0.25,0.7194933487294795,0.9334448906738064,0.8600405747824924
Pa,0.7268351483798271,0.9104377104377104,0.8591543327935512,0.8101604278074866,0.9111111111111111,0.8626444159178434,0.849929873772791,0.6258409023284912,0.65,0.6801186190941609,0.9029126213592233,0.8256972924741154
Sa,0.6422711773493659,0.8940628859124157,0.8070413028351205,0.9289256198347108,0.7011494252873564,0.8780487804878049,0.9220672682526662,0.6261399388313293,0.65,0.6981924649834704,0.914910536779324,0.8198579133068903
Se,0.793690559978892,0.9487075928917609,0.8778772219401141,0.79375,0.9709208400646203,0.9345314505776636,0.8327868852459015,0.4001798927783966,0.4,0.7158228658663758,0.9029778578097907,0.8217887814926786
St,0.7476896069818117,0.943399685699319,0.8086424220809187,0.6608695652173913,0.9894578313253012,0.9409499358151476,0.7676767676767675,0.4002797305583954,0.4,0.727750250964311,0.9008074948061621,0.8215617695166181
